#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ALVG.DE,26-OCT-2001,,End Of Day,,275.9,282,273,282,927713,,,Verified
ALVG.DE,27-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,28-OCT-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,29-OCT-2001,,End Of Day,,279.9,279.9,268.9,268.9,815406,,,Verified
ALVG.DE,30-OCT-2001,,End Of Day,,266,266.9,259.8,264.5,818087,,,Verified
ALVG.DE,31-OCT-2001,,End Of Day,,262.51,267.44,257.2,261.8,1090885,,,Verified
ALVG.DE,01-NOV-2001,,End Of Day,,261.8,269.5,255.26,269.5,815195,,,Verified
ALVG.DE,02-NOV-2001,,End Of Day,,269.44,270.79,263.17,265.4,817449,,,Verified
ALVG.DE,03-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,04-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,05-NOV-2001,,End Of Day,,267.03,276,265,276,889223,,,Verified
ALVG.DE,06-NOV-2001,,End Of Day,,278.51,281.55,271,271,1130393,,,Verified
ALVG.DE,07-NOV-2001,,End Of Day,,273.1,278.73,269.2,277.6,920486,,,Verified
ALVG.DE,08-NOV-2001,,End Of Day,,275.11,287.12,275.1,286,1259286,,,Verified
ALVG.DE,09-NOV-2001,,End Of Day,,282.8,283.82,276.2,278.1,975576,,,Verified
ALVG.DE,10-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,11-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,12-NOV-2001,,End Of Day,,278.1,278.1,255.5,270.6,1431391,,,Verified
ALVG.DE,13-NOV-2001,,End Of Day,,273,279.5,269.1,278.61,1116204,,,Verified
ALVG.DE,14-NOV-2001,,End Of Day,,278.06,280,269.01,271.3,1502928,,,Verified
ALVG.DE,15-NOV-2001,,End Of Day,,272.99,274,260,260,1465795,,,Verified
ALVG.DE,16-NOV-2001,,End Of Day,,260.78,264.9,259.2,260.05,1186553,,,Verified
ALVG.DE,17-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,18-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,19-NOV-2001,,End Of Day,,261.95,268.5,261,268.5,659432,,,Verified
ALVG.DE,20-NOV-2001,,End Of Day,,268,270,257.75,263.5,857503,,,Verified
ALVG.DE,21-NOV-2001,,End Of Day,,261.01,268.2,258.64,261.47,913711,,,Verified
ALVG.DE,22-NOV-2001,,End Of Day,,263.19,266.6,261.5,265,480473,,,Verified
ALVG.DE,23-NOV-2001,,End Of Day,,265,269.2,261.73,266.5,770269,,,Verified
ALVG.DE,24-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,25-NOV-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,26-NOV-2001,,End Of Day,,266,269.7,260.2,260.2,859535,,,Verified
ALVG.DE,27-NOV-2001,,End Of Day,,261.55,262.88,250.8,255.2,1296628,,,Verified
ALVG.DE,28-NOV-2001,,End Of Day,,252,258.25,250.11,251.5,1127308,,,Verified
ALVG.DE,29-NOV-2001,,End Of Day,,251,263,251,260.51,1182112,,,Verified
ALVG.DE,30-NOV-2001,,End Of Day,,262.95,267.16,260.5,263.99,1286380,,,Verified
ALVG.DE,01-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,02-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,03-DEC-2001,,End Of Day,,263.99,263.99,254.31,261.24,990137,,,Verified
ALVG.DE,04-DEC-2001,,End Of Day,,262.75,264.9,260.2,262.05,762109,,,Verified
ALVG.DE,05-DEC-2001,,End Of Day,,265,271.5,265,271,1182657,,,Verified
ALVG.DE,06-DEC-2001,,End Of Day,,271.9,276,269.05,274.19,1046650,,,Verified
ALVG.DE,07-DEC-2001,,End Of Day,,273.65,278.76,271.91,275,911894,,,Verified
ALVG.DE,08-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,09-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,10-DEC-2001,,End Of Day,,275.99,278.6,268.1,268.4,738881,,,Verified
ALVG.DE,11-DEC-2001,,End Of Day,,268.4,272.07,266.75,269.5,660058,,,Verified
ALVG.DE,12-DEC-2001,,End Of Day,,270.85,273.19,262,265.48,871102,,,Verified
ALVG.DE,13-DEC-2001,,End Of Day,,265,267.02,257.61,258.1,992424,,,Verified
ALVG.DE,14-DEC-2001,,End Of Day,,256.5,258.23,253.25,253.25,940231,,,Verified
ALVG.DE,15-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,16-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,17-DEC-2001,,End Of Day,,255,262.5,253.61,261.04,977076,,,Verified
ALVG.DE,18-DEC-2001,,End Of Day,,260.6,261.04,256.8,256.8,1245276,,,Verified
ALVG.DE,19-DEC-2001,,End Of Day,,256.5,259,250.8,254.66,1407894,,,Verified
ALVG.DE,20-DEC-2001,,End Of Day,,255.88,257.9,249.41,253,1014775,,,Verified
ALVG.DE,21-DEC-2001,,End Of Day,,251.55,254.66,246.31,253.75,1855682,,,Verified
ALVG.DE,22-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,23-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,24-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,25-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,26-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,27-DEC-2001,,End Of Day,,256,259.5,254.88,259.5,495325,,,Verified
ALVG.DE,28-DEC-2001,,End Of Day,,259.3,266.74,259,266,403583,,,Verified
ALVG.DE,29-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,30-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,31-DEC-2001,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,01-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,02-JAN-2002,,End Of Day,,264.9,268.99,261.65,266,571504,,,Verified
ALVG.DE,03-JAN-2002,,End Of Day,,268,271.25,266.55,269.74,719857,,,Verified
ALVG.DE,04-JAN-2002,,End Of Day,,271,271.9,264.39,266.01,1081564,,,Verified
ALVG.DE,05-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,06-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,07-JAN-2002,,End Of Day,,268.4,268.4,262.7,262.7,948867,,,Verified
ALVG.DE,08-JAN-2002,,End Of Day,,262,264.88,261,262.25,913354,,,Verified
ALVG.DE,09-JAN-2002,,End Of Day,,261.3,264.39,259.75,262.98,948284,,,Verified
ALVG.DE,10-JAN-2002,,End Of Day,,260.6,263.88,260.5,262.99,568044,,,Verified
ALVG.DE,11-JAN-2002,,End Of Day,,262,266.61,262,263.5,729980,,,Verified
ALVG.DE,12-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,13-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,14-JAN-2002,,End Of Day,,263,263.4,254.5,254.6,907934,,,Verified
ALVG.DE,15-JAN-2002,,End Of Day,,254.01,260.49,252.3,256.3,1023092,,,Verified
ALVG.DE,16-JAN-2002,,End Of Day,,256,256,251.5,253.6,794512,,,Verified
ALVG.DE,17-JAN-2002,,End Of Day,,253.6,264,253.11,262.9,1220567,,,Verified
ALVG.DE,18-JAN-2002,,End Of Day,,260.1,264,259.85,264,1030743,,,Verified
ALVG.DE,19-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,20-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,21-JAN-2002,,End Of Day,,263.5,264.82,261.5,263.99,582570,,,Verified
ALVG.DE,22-JAN-2002,,End Of Day,,261.88,264.8,260.01,263.1,919498,,,Verified
ALVG.DE,23-JAN-2002,,End Of Day,,262.5,271.49,260,271,916741,,,Verified
ALVG.DE,24-JAN-2002,,End Of Day,,271,271.77,268,269.88,954360,,,Verified
ALVG.DE,25-JAN-2002,,End Of Day,,268.6,268.6,263.15,266.4,786462,,,Verified
ALVG.DE,26-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,27-JAN-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,28-JAN-2002,,End Of Day,,266.7,271.5,266,268.89,874776,,,Verified
ALVG.DE,29-JAN-2002,,End Of Day,,269.05,274.25,265.21,265.5,904628,,,Verified
ALVG.DE,30-JAN-2002,,End Of Day,,263.25,264.6,258.15,259.45,1016984,,,Verified
ALVG.DE,31-JAN-2002,,End Of Day,,261.95,262.93,258.7,261.5,848547,,,Verified
ALVG.DE,01-FEB-2002,,End Of Day,,262.5,263.12,256.4,258.3,952532,,,Verified
ALVG.DE,02-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
